# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000643493
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    1.60874e-01	    1.40000e-01	    5.48831e-02	    1.15913e-01	    2.67350e-03	    7.28388e-03	    1.53230e-03	   -4.76212e-03	    2.62756e-02	    1.43721e-01	    6.88133e-01	    1.09116e-02	    4.61045e-02	    1.57203e-02
    1.64595e-01	    1.40000e-01	    5.48292e-02	    1.15860e-01	    2.67946e-03	    7.52846e-03	    1.54030e-03	   -5.15526e-03	    2.61443e-02	    1.45604e-01	    6.89219e-01	    1.09761e-02	    4.58290e-02	    1.60820e-02
    1.68320e-01	    1.40000e-01	    5.47554e-02	    1.15731e-01	    2.68116e-03	    7.76825e-03	    1.55440e-03	   -5.53077e-03	    2.60016e-02	    1.47486e-01	    6.89786e-01	    1.10362e-02	    4.55362e-02	    1.64415e-02
    1.72050e-01	    1.40000e-01	    5.46630e-02	    1.15529e-01	    2.67918e-03	    8.00270e-03	    1.57498e-03	   -5.88827e-03	    2.58472e-02	    1.49359e-01	    6.89851e-01	    1.10925e-02	    4.52273e-02	    1.67983e-02
    1.75785e-01	    1.40000e-01	    5.45529e-02	    1.15257e-01	    2.67407e-03	    8.23134e-03	    1.60235e-03	   -6.22753e-03	    2.56808e-02	    1.51218e-01	    6.89430e-01	    1.11458e-02	    4.49034e-02	    1.71517e-02
    1.79525e-01	    1.40000e-01	    5.44262e-02	    1.14917e-01	    2.66640e-03	    8.45375e-03	    1.63672e-03	   -6.54845e-03	    2.55022e-02	    1.53058e-01	    6.88541e-01	    1.11967e-02	    4.45656e-02	    1.75010e-02
    1.83269e-01	    1.40000e-01	    5.42836e-02	    1.14513e-01	    2.65669e-03	    8.66956e-03	    1.67822e-03	   -6.85109e-03	    2.53111e-02	    1.54873e-01	    6.87204e-01	    1.12457e-02	    4.42151e-02	    1.78454e-02
    1.87019e-01	    1.40000e-01	    5.41260e-02	    1.14046e-01	    2.64548e-03	    8.87849e-03	    1.72689e-03	   -7.13558e-03	    2.51074e-02	    1.56656e-01	    6.85436e-01	    1.12934e-02	    4.38529e-02	    1.81844e-02
    1.90773e-01	    1.40000e-01	    5.39539e-02	    1.13520e-01	    2.63327e-03	    9.08028e-03	    1.78271e-03	   -7.40218e-03	    2.48911e-02	    1.58404e-01	    6.83256e-01	    1.13400e-02	    4.34800e-02	    1.85173e-02
    1.94533e-01	    1.40000e-01	    5.37679e-02	    1.12938e-01	    2.62051e-03	    9.27475e-03	    1.84559e-03	   -7.65121e-03	    2.46621e-02	    1.60109e-01	    6.80682e-01	    1.13859e-02	    4.30975e-02	    1.88434e-02
