#      Name	     Mass	    Gamma	 Spin	Isospin	   I3	Nq	Ns	Naq	Nas	Nc	Nac	       MC	   Nyield	MassLower
# Dc1865zer	 1.864600	0.00000e+00	  0.0	  0.5	  0.5	0	0	1	0	1	0	      421	3.22736e-07	   1.8646
# 1:pbar [GeV]	2:m [GeV]	3:feq 1	4:feq 2	5:fshear 1	6:fshear 2	7:fshear 3	8:fbulk 1	9:fbulk 2	10:ftemperature 1	11:ftemperature 2	12:fvelocity 1	13:fvelocity 2	14:fvelocity 3 	15:fdiff 1	16:fdiff 2	17:fdiff3
    1.22596e-01	    1.86460e+00	    3.38678e-06	    3.61549e-06	    5.56100e-08	    4.24668e-07	    5.98357e-08	    6.59875e-06	    7.21116e-06	    4.54375e-05	    4.89405e-05	    4.34002e-07	    2.06544e-06	    4.65044e-07	    4.34001e-07	    2.06544e-06	    4.65043e-07
    1.25618e-01	    1.86460e+00	    3.46558e-06	    3.69956e-06	    5.97430e-08	    4.37356e-07	    6.42818e-08	    6.75009e-06	    7.37650e-06	    4.64990e-05	    5.00831e-05	    4.55043e-07	    2.08416e-06	    4.87585e-07	    4.55042e-07	    2.08416e-06	    4.87583e-07
    1.28641e-01	    1.86460e+00	    3.54410e-06	    3.78334e-06	    6.40731e-08	    4.50209e-07	    6.89399e-08	    6.90074e-06	    7.54108e-06	    4.75572e-05	    5.12221e-05	    4.76554e-07	    2.10330e-06	    5.10627e-07	    4.76553e-07	    2.10330e-06	    5.10626e-07
    1.31667e-01	    1.86460e+00	    3.62234e-06	    3.86682e-06	    6.86045e-08	    4.63231e-07	    7.38145e-08	    7.05068e-06	    7.70488e-06	    4.86120e-05	    5.23573e-05	    4.98531e-07	    2.12284e-06	    5.34168e-07	    4.98530e-07	    2.12284e-06	    5.34167e-07
    1.34695e-01	    1.86460e+00	    3.70030e-06	    3.94998e-06	    7.33415e-08	    4.76424e-07	    7.89100e-08	    7.19990e-06	    7.86789e-06	    4.96632e-05	    5.34887e-05	    5.20972e-07	    2.14280e-06	    5.58205e-07	    5.20970e-07	    2.14280e-06	    5.58204e-07
    1.37725e-01	    1.86460e+00	    3.77796e-06	    4.03283e-06	    7.82882e-08	    4.89792e-07	    8.42310e-08	    7.34838e-06	    8.03009e-06	    5.07108e-05	    5.46161e-05	    5.43873e-07	    2.16316e-06	    5.82735e-07	    5.43872e-07	    2.16316e-06	    5.82734e-07
    1.40758e-01	    1.86460e+00	    3.85532e-06	    4.11535e-06	    8.34489e-08	    5.03340e-07	    8.97820e-08	    7.49611e-06	    8.19146e-06	    5.17547e-05	    5.57394e-05	    5.67232e-07	    2.18393e-06	    6.07755e-07	    5.67231e-07	    2.18393e-06	    6.07753e-07
    1.43794e-01	    1.86460e+00	    3.93237e-06	    4.19755e-06	    8.88275e-08	    5.17069e-07	    9.55673e-08	    7.64307e-06	    8.35199e-06	    5.27948e-05	    5.68587e-05	    5.91046e-07	    2.20509e-06	    6.33261e-07	    5.91045e-07	    2.20509e-06	    6.33259e-07
    1.46832e-01	    1.86460e+00	    4.00911e-06	    4.27940e-06	    9.44283e-08	    5.30984e-07	    1.01591e-07	    7.78925e-06	    8.51165e-06	    5.38311e-05	    5.79737e-05	    6.15312e-07	    2.22666e-06	    6.59250e-07	    6.15311e-07	    2.22666e-06	    6.59248e-07
    1.49873e-01	    1.86460e+00	    4.08552e-06	    4.36091e-06	    1.00255e-07	    5.45087e-07	    1.07859e-07	    7.93462e-06	    8.67044e-06	    5.48634e-05	    5.90844e-05	    6.40027e-07	    2.24862e-06	    6.85719e-07	    6.40025e-07	    2.24862e-06	    6.85717e-07
